P,PD,PDC,PDCQ
EC.0,RL.DDE,normwaalsvolume.G3,normwaalsvolume.G3
NI.3,II.DDE,RL.DDE,RL.DDE
ND.6,VR.DDE,hydrophobicity_ARGP820101.G2,hydrophobicity_ARGP820101.G2
DI.6,EC.0,II.DDE,II.DDE
VF.8,EC.DDE,VR.DDE,VR.DDE
QA.3,SR.DDE,EC.0,EC.0
SD.2,ID.DDE,hydrophobicity_PONP930101.G1.residue100,hydrophobicity_PONP930101.G1.residue100
II.0,YD.DDE,charge.G1.residue0,charge.G1.residue0
CD.3,NI.3,hydrophobicity_PONP930101.G2.residue100,hydrophobicity_PONP930101.G2.residue100
RK.5,RS.DDE,normwaalsvolume.G2.residue25,normwaalsvolume.G2.residue25
IN.3,ND.6,normwaalsvolume.G1.residue25,normwaalsvolume.G1.residue25
CN.7,DI.6,hydrophobicity_PRAM900101.G2.residue0,hydrophobicity_PRAM900101.G2.residue0
AH.6,PP.DDE,polarizability.G3.residue50,polarizability.G3.residue50
GM.9,VF.8,solventaccess.G3.residue25,solventaccess.G3.residue25
NL.7,QA.3,polarizability.G2.residue50,polarizability.G2.residue50
II.6,SD.2,EC.DDE,EC.DDE
VW.0,II.0,SR.DDE,SR.DDE
CT.2,CD.3,ID.DDE,ID.DDE
CD.9,PR.DDE,charge.G2.residue0,charge.G2.residue0
YD.0,RK.5,YD.DDE,YD.DDE
IS.4,IN.3,NI.3,NI.3
GI.8,CN.7,RS.DDE,RS.DDE
DW.3,KF.DDE,ND.6,ND.6
CV.4,AH.6,polarizability.G1.residue50,polarizability.G1.residue50
GD.3,GM.9,hydrophobicity_PRAM900101.G3.residue0,hydrophobicity_PRAM900101.G3.residue0
CE.4,NL.7,hydrophobicity_ARGP820101.G1.residue75,hydrophobicity_ARGP820101.G1.residue75
GC.6,II.6,polarizability.Tr2332,polarizability.Tr2332
KF.2,VW.0,solventaccess.G1.residue25,solventaccess.G1.residue25
KR.5,CT.2,DI.6,DI.6
DN.6,CD.9,hydrophobicity_ZIMJ680101.G3.residue25,hydrophobicity_ZIMJ680101.G3.residue25
YC.5,FM.DDE,secondarystruct.G2.residue75,secondarystruct.G2.residue75
RK.1,RV.DDE,PP.DDE,PP.DDE
GC.7,YD.0,VF.8,VF.8
IY.9,IS.4,polarity.G1.residue100,polarity.G1.residue100
DD.8,KN.DDE,polarity.G3,polarity.G3
AC.8,GI.8,hydrophobicity_PRAM900101.G1.residue0,hydrophobicity_PRAM900101.G1.residue0
RK.4,DW.3,hydrophobicity_PONP930101.G3.residue100,hydrophobicity_PONP930101.G3.residue100
CG.5,CV.4,QA.3,QA.3
SC.1,NI.DDE,SD.2,SD.2
DW.4,RT.DDE,II.0,II.0
IH.5,SW.DDE,CD.3,CD.3
AC.2,RP.DDE,PR.DDE,PR.DDE
AH.1,TR.DDE,RK.5,RK.5
SN.9,GD.3,hydrophobicity_ENGD860101.G2,hydrophobicity_ENGD860101.G2
CY.0,SE.DDE,polarizability.G2.residue0,polarizability.G2.residue0
YC.9,CE.4,hydrophobicity_CASG920101.G3,hydrophobicity_CASG920101.G3
SE.0,GC.6,IN.3,IN.3
EA.8,KF.2,CN.7,CN.7
CW.1,TT.DDE,KF.DDE,KF.DDE
DN.9,KR.5,hydrophobicity_ARGP820101.Tr1331,hydrophobicity_ARGP820101.Tr1331
FM.4,LD.DDE,AH.6,AH.6
VI.2,DN.6,hydrophobicity_PRAM900101.G1.residue75,hydrophobicity_PRAM900101.G1.residue75
IC.1,YC.5,GM.9,GM.9
QQ.7,RK.1,solventaccess.G3.residue100,solventaccess.G3.residue100
MY.5,DE.DDE,NL.7,NL.7
CS.6,GC.7,II.6,II.6
ES.1,IY.9,hydrophobicity_CASG920101.Tr2332,hydrophobicity_CASG920101.Tr2332
TC.9,DD.8,VW.0,Schneider.Xr.D
CI.3,AC.8,CT.2,VW.0
IY.3,TS.DDE,CD.9,Schneider.Xr.C
WD.7,GR.DDE,FM.DDE,CT.2
VC.5,RK.4,RV.DDE,CD.9
AD.4,CG.5,YD.0,FM.DDE
FL.2,SC.1,IS.4,RV.DDE
IT.5,DW.4,KN.DDE,YD.0
DS.7,IH.5,GI.8,IS.4
ID.0,AC.2,polarizability.G3,KN.DDE
HS.8,AR.DDE,DW.3,GI.8
IG.8,AH.1,secondarystruct.G2,polarizability.G3
HG.2,SN.9,secondarystruct.G1,DW.3
IW.8,CY.0,solventaccess.G2.residue25,secondarystruct.G2
ND.2,DF.DDE,CV.4,secondarystruct.G1
NN.7,YC.9,NI.DDE,solventaccess.G2.residue25
DL.1,SE.0,RT.DDE,CV.4
AR.4,EA.8,SW.DDE,NI.DDE
AK.2,CW.1,hydrophobicity_ZIMJ680101.G1,RT.DDE
HP.1,DN.9,hydrophobicity_CASG920101.G2.residue100,SW.DDE
RK.3,FM.4,hydrophobicity_CASG920101.G1.residue100,hydrophobicity_ZIMJ680101.G1
TA.6,VI.2,RP.DDE,hydrophobicity_CASG920101.G2.residue100
HP.7,IC.1,TR.DDE,hydrophobicity_CASG920101.G1.residue100
Pse_Hydrophilicity_delta4,EI.DDE,GD.3,RP.DDE
VR.0,RA.DDE,SE.DDE,TR.DDE
GN.5,QQ.7,CE.4,GD.3
DF.8,FK.DDE,hydrophobicity_ENGD860101.G2.residue0,SE.DDE
LV.9,GM.DDE,polarity.G3.residue100,Grantham.Xr.Q
DY.2,MY.5,GC.6,CE.4
ML.0,CS.6,KF.2,hydrophobicity_ENGD860101.G2.residue0
HV.4,ES.1,TT.DDE,polarity.G3.residue100
SD.1,ND.DDE,KR.5,Grantham.Xr.C
KS.4,TC.9,secondarystruct.G1.residue75,GC.6
SH.3,CI.3,LD.DDE,KF.2
FH.5,IY.3,DN.6,TT.DDE
IH.2,RI.DDE,YC.5,KR.5
GV.3,WD.7,RK.1,secondarystruct.G1.residue75
YD.1,VC.5,DE.DDE,LD.DDE
QW.6,AD.4,GC.7,DN.6
YA.4,PQ.DDE,hydrophobicity_CASG920101.G2,YC.5
NC.5,FL.2,IY.9,RK.1
CR.2,IT.5,hydrophobicity_ARGP820101.G1.residue25,DE.DDE
RT.6,DS.7,DD.8,GC.7
II.5,ID.0,charge.G3.residue75,hydrophobicity_CASG920101.G2
HW.2,HS.8,AC.8,IY.9
IW.3,IG.8,TS.DDE,hydrophobicity_ARGP820101.G1.residue25
QK.3,HG.2,GR.DDE,DD.8
SC.3,IW.8,RK.4,charge.G3.residue75
EP.5,ND.2,CG.5,AC.8
II.7,NN.7,SC.1,TS.DDE
HG.4,DL.1,DW.4,GR.DDE
RL.0,NK.DDE,IH.5,RK.4
CH.4,AR.4,hydrophobicity_FASG890101.G1.residue75,Schneider.Xr.I
RA.3,AK.2,AC.2,CG.5
HV.9,HP.1,AR.DDE,SC.1
NM.4,RK.3,hydrophobicity_PONP930101.G1.residue50,DW.4
AK.0,TA.6,AH.1,IH.5
CQ.6,HP.7,SN.9,hydrophobicity_FASG890101.G1.residue75
CM.7,Pse_Hydrophilicity_delta4,secondarystruct.G1.residue50,AC.2
CE.7,VR.0,CY.0,AR.DDE
RT.2,GN.5,DF.DDE,hydrophobicity_PONP930101.G1.residue50
EV.1,DF.8,YC.9,AH.1
HI.0,PA.DDE,SE.0,SN.9
HP.5,NG.DDE,EA.8,secondarystruct.G1.residue50
ID.5,LV.9,CW.1,CY.0
HV.1,DY.2,DN.9,DF.DDE
DF.7,WC.DDE,FM.4,YC.9
IN.4,ML.0,VI.2,SE.0
NV.0,HV.4,secondarystruct.G2.residue25,EA.8
VN.8,FE.DDE,IC.1,CW.1
GN.1,SD.1,solventaccess.G1.residue100,DN.9
YC.2,RR.DDE,EI.DDE,FM.4
YD.8,IK.DDE,normwaalsvolume.G1.residue100,VI.2
TR.3,KS.4,normwaalsvolume.G2.residue100,secondarystruct.G2.residue25
Pse_Hydrophilicity_delta6,SH.3,RA.DDE,IC.1
CE.5,FH.5,QQ.7,solventaccess.G1.residue100
WH.6,QT.DDE,FK.DDE,EI.DDE
TR.5,IH.2,hydrophobicity_CASG920101.G3.residue25,normwaalsvolume.G1.residue100
CT.1,GV.3,hydrophobicity_PRAM900101.G2.residue100,normwaalsvolume.G2.residue100
FC.4,YD.1,GM.DDE,RA.DDE
AS.5,QW.6,MY.5,QQ.7
FG.3,YA.4,secondarystruct.G3.residue75,Grantham.Xr.K
MR.8,NC.5,CS.6,FK.DDE
MQ.2,CR.2,ES.1,hydrophobicity_CASG920101.G3.residue25
YD.4,RT.6,ND.DDE,hydrophobicity_PRAM900101.G2.residue100
CL.1,II.5,secondarystruct.G1.residue0,GM.DDE
SR.0,HW.2,normwaalsvolume.G2,MY.5
LQ.5,IW.3,solventaccess.G1,secondarystruct.G3.residue75
EC.3,NN.DDE,TC.9,CS.6
IN.6,QK.3,hydrophobicity_FASG890101.G3.residue75,ES.1
VV.0,SC.3,CI.3,ND.DDE
DM.9,EP.5,hydrophobicity_CASG920101.G1.residue50,secondarystruct.G1.residue0
KR.3,II.7,IY.3,normwaalsvolume.G2
HE.8,SK.DDE,RI.DDE,solventaccess.G1
SN.8,HG.4,WD.7,TC.9
DF.3,RL.0,VC.5,hydrophobicity_FASG890101.G3.residue75
RE.6,CH.4,AD.4,CI.3
DF.1,RA.3,PQ.DDE,hydrophobicity_CASG920101.G1.residue50
CA.1,LT.DDE,FL.2,IY.3
DA.4,HV.9,IT.5,RI.DDE
HH.8,NM.4,DS.7,WD.7
ND.7,AK.0,ID.0,VC.5
YI.3,CQ.6,HS.8,AD.4
LG.6,CM.7,IG.8,PQ.DDE
RE.7,CE.7,hydrophobicity_PRAM900101.Tr1331,FL.2
FG.2,RT.2,HG.2,IT.5
RQ.9,NV.DDE,IW.8,DS.7
CL.0,EV.1,ND.2,ID.0
SQ.1,HI.0,NN.7,HS.8
AA.8,HP.5,DL.1,IG.8
HS.1,ID.5,NK.DDE,hydrophobicity_PRAM900101.Tr1331
KL.2,HV.1,hydrophobicity_FASG890101.G1.residue25,HG.2
FM.0,DF.7,AR.4,IW.8
FH.3,IN.4,AK.2,ND.2
VC.1,QP.DDE,HP.1,NN.7
FQ.8,NV.0,RK.3,DL.1
ND.5,VN.8,TA.6,NK.DDE
QE.2,GN.1,HP.7,hydrophobicity_FASG890101.G1.residue25
NN.5,PS.DDE,Pse_Hydrophilicity_delta4,AR.4
MC.7,YC.2,VR.0,AK.2
GC.3,YD.8,GN.5,HP.1
RL.4,TR.3,polarity.G3.residue50,RK.3
QN.2,Pse_Hydrophilicity_delta6,polarity.G2.residue50,TA.6
SF.1,CE.5,DF.8,HP.7
YI.9,WH.6,charge.G3.residue0,Pse_Hydrophilicity_delta4
Pse_Hydrophobicity_delta6,TR.5,hydrophobicity_ENGD860101.G1.residue0,VR.0
LA.9,CT.1,PA.DDE,GN.5
TT.0,FC.4,NG.DDE,polarity.G3.residue50
IV.2,AS.5,LV.9,polarity.G2.residue50
IG.1,FG.3,hydrophobicity_ZIMJ680101.G1.residue25,DF.8
CP.8,LF.DDE,DY.2,charge.G3.residue0
FD.9,MR.8,WC.DDE,hydrophobicity_ENGD860101.G1.residue0
KK.0,MQ.2,ML.0,PA.DDE
EA.6,YD.4,HV.4,NG.DDE
DC.6,YW.DDE,FE.DDE,LV.9
PC.3,CL.1,SD.1,hydrophobicity_ZIMJ680101.G1.residue25
YR.8,SR.0,RR.DDE,DY.2
MR.1,LQ.5,hydrophobicity_CASG920101.G1,WC.DDE
HC.5,EC.3,IK.DDE,ML.0
LP.1,IN.6,polarity.G2.residue25,HV.4
KQ.8,VV.0,KS.4,FE.DDE
HQ.7,DM.9,SH.3,SD.1
FE.6,DV.DDE,hydrophobicity_PRAM900101.Tr2332,RR.DDE
EQ.2,KR.3,FH.5,hydrophobicity_CASG920101.G1
CW.7,HE.8,QT.DDE,IK.DDE
EL.9,DN.DDE,IH.2,polarity.G2.residue25
SA.2,SN.8,GV.3,KS.4
IC.6,DF.3,YD.1,SH.3
HP.4,RE.6,QW.6,hydrophobicity_PRAM900101.Tr2332
SY.0,RC.DDE,charge.G3,FH.5
RK.6,MN.DDE,hydrophobicity_ZIMJ680101.G2.residue25,QT.DDE
DN.2,DF.1,YA.4,IH.2
HC.9,CA.1,NC.5,GV.3
FD.1,DA.4,CR.2,YD.1
FK.4,HH.8,RT.6,QW.6
DW.9,ND.7,II.5,charge.G3
NE.1,YI.3,HW.2,hydrophobicity_ZIMJ680101.G2.residue25
FK.6,LG.6,IW.3,YA.4
AP.6,RE.7,NN.DDE,NC.5
KG.8,FG.2,QK.3,CR.2
CG.1,RQ.9,SC.3,RT.6
Pse_Hydrophilicity_delta5,CL.0,EP.5,II.5
AH.4,FD.DDE,hydrophobicity_ARGP820101.G2.residue50,HW.2
ID.9,SQ.1,II.7,IW.3
WV.5,AA.8,SK.DDE,NN.DDE
NI.0,HS.1,polarity.G2.residue100,QK.3
NL.2,EL.DDE,HG.4,SC.3
HC.1,KL.2,RL.0,EP.5
FV.7,FM.0,CH.4,hydrophobicity_ARGP820101.G2.residue50
CH.2,FH.3,hydrophobicity_ENGD860101.G3,II.7
HH.5,VC.1,RA.3,SK.DDE
ET.7,FQ.8,LT.DDE,polarity.G2.residue100
NG.5,ND.5,HV.9,HG.4
NH.2,QE.2,NM.4,RL.0
HD.5,NN.5,AK.0,CH.4
KA.1,LC.DDE,CQ.6,hydrophobicity_ENGD860101.G3
DI.4,MC.7,CM.7,RA.3
NN.3,GC.3,hydrophobicity_ENGD860101.G3.residue75,LT.DDE
DN.7,RL.4,CE.7,HV.9
LE.0,LP.DDE,RT.2,NM.4
HA.6,SH.DDE,solventaccess.G1.residue50,AK.0
AQ.9,QN.2,NV.DDE,CQ.6
VC.9,SF.1,EV.1,CM.7
GN.0,YI.9,HI.0,hydrophobicity_ENGD860101.G3.residue75
LL.1,CR.DDE,HP.5,CE.7
PC.4,RM.DDE,charge.G2.residue75,RT.2
RK.9,Pse_Hydrophobicity_delta6,hydrophobicity_ENGD860101.G3.residue50,solventaccess.G1.residue50
DC.4,LR.DDE,ID.5,NV.DDE
FS.4,LA.9,HV.1,EV.1
CV.2,TT.0,hydrophobicity_ENGD860101.G1.residue75,HI.0
KH.0,IV.2,DF.7,HP.5
TY.8,IG.1,IN.4,charge.G2.residue75
LC.1,CP.8,QP.DDE,hydrophobicity_ENGD860101.G3.residue50
TK.5,FD.9,hydrophobicity_PRAM900101.G1,ID.5
LC.2,KK.0,secondarystruct.G3,HV.1
CG.7,EA.6,secondarystruct.G1.residue25,Grantham.Xr.A
DV.3,DC.6,NV.0,hydrophobicity_ENGD860101.G1.residue75
CD.1,KH.DDE,VN.8,DF.7
Pse_Hydrophilicity_delta10,PC.3,GN.1,IN.4
PC.8,HR.DDE,PS.DDE,QP.DDE
KR.6,YR.8,YC.2,hydrophobicity_PRAM900101.G1
AQ.7,MR.1,YD.8,secondarystruct.G3
TR.7,HC.5,hydrophobicity_CASG920101.G3.residue50,secondarystruct.G1.residue25
FQ.9,LP.1,hydrophobicity_ENGD860101.G3.residue0,NV.0
NG.0,KQ.8,TR.3,VN.8
GD.4,GN.DDE,Pse_Hydrophilicity_delta6,GN.1
TY.0,HQ.7,CE.5,PS.DDE
RN.4,FE.6,WH.6,YC.2
SR.3,EQ.2,TR.5,YD.8
LQ.8,CW.7,hydrophobicity_FASG890101.G2.residue25,hydrophobicity_CASG920101.G3.residue50
GC.4,ML.DDE,CT.1,hydrophobicity_ENGD860101.G3.residue0
PH.4,EL.9,FC.4,TR.3
QT.0,SA.2,AS.5,Pse_Hydrophilicity_delta6
ME.3,IC.6,FG.3,CE.5
TH.0,HP.4,hydrophobicity_ENGD860101.G3.residue25,WH.6
PH.7,SY.0,hydrophobicity_ARGP820101.G2.residue100,TR.5
HD.1,RK.6,LF.DDE,hydrophobicity_FASG890101.G2.residue25
GG.1,DN.2,MR.8,CT.1
DP.0,EP.DDE,MQ.2,FC.4
PQ.0,HC.9,YD.4,AS.5
HG.5,WG.DDE,YW.DDE,FG.3
EL.5,FD.1,CL.1,Schneider.Xr.Q
FE.0,FK.4,SR.0,hydrophobicity_ENGD860101.G3.residue25
KM.7,TA.DDE,LQ.5,hydrophobicity_ARGP820101.G2.residue100
HD.3,DW.9,EC.3,LF.DDE
AC.5,NE.1,IN.6,MR.8
YM.7,FK.6,VV.0,MQ.2
PE.8,AP.6,DM.9,YD.4
DF.4,VW.DDE,DV.DDE,YW.DDE
HC.6,MK.DDE,KR.3,CL.1
NF.5,KG.8,HE.8,SR.0
CA.6,CG.1,DN.DDE,LQ.5
MC.9,Pse_Hydrophilicity_delta5,SN.8,EC.3
CP.9,AH.4,hydrophobicity_FASG890101.G2.residue75,IN.6
SR.5,KI.DDE,DF.3,VV.0
RI.0,LL.DDE,RE.6,DM.9
Pse_Hydrophilicity_delta1,ID.9,RC.DDE,DV.DDE
WP.9,WV.5,hydrophobicity_ARGP820101.G2.residue75,KR.3
LF.0,NI.0,MN.DDE,HE.8
SE.8,NL.2,charge.G1.residue75,DN.DDE
IC.0,DI.DDE,DF.1,SN.8
LD.0,HC.1,CA.1,hydrophobicity_FASG890101.G2.residue75
GM.0,FV.7,DA.4,DF.3
NI.1,CH.2,HH.8,RE.6
NF.1,HH.5,ND.7,Grantham.Xd.5
DD.9,ET.7,YI.3,RC.DDE
KR.4,NG.5,LG.6,hydrophobicity_ARGP820101.G2.residue75
CR.4,NH.2,RE.7,MN.DDE
HC.4,HD.5,FG.2,Grantham.Xr.R
PI.1,KA.1,RQ.9,charge.G1.residue75
GE.5,YM.DDE,CL.0,DF.1
CN.5,DI.4,FD.DDE,CA.1
AG.3,NN.3,SQ.1,DA.4
ID.4,DN.7,AA.8,HH.8
FF.9,LE.0,HS.1,ND.7
Pse_pK(alpha-NH3+)_delta8,HA.6,EL.DDE,Grantham.Xr.E
FM.3,TY.DDE,KL.2,YI.3
NI.4,AQ.9,FM.0,LG.6
DC.0,VC.9,FH.3,RE.7
Pse_Hydrophobicity_delta10,GN.0,VC.1,FG.2
QQ.0,LL.1,FQ.8,RQ.9
FH.1,PC.4,hydrophobicity_PONP930101.G2.residue50,CL.0
MT.4,RK.9,ND.5,FD.DDE
KK.3,DC.4,QE.2,SQ.1
VY.9,FS.4,NN.5,AA.8
HQ.2,PH.DDE,LC.DDE,HS.1
FI.8,CV.2,MC.7,EL.DDE
NV.8,KH.0,GC.3,KL.2
Pse_Hydrophobicity_delta5,TY.8,RL.4,FM.0
CI.8,LC.1,LP.DDE,FH.3
AE.4,TK.5,SH.DDE,VC.1
HY.7,LC.2,QN.2,FQ.8
QC.6,CG.7,SF.1,hydrophobicity_PONP930101.G2.residue50
VV.6,DV.3,YI.9,ND.5
IC.5,CD.1,CR.DDE,QE.2
KS.9,Pse_Hydrophilicity_delta10,RM.DDE,NN.5
MI.7,PC.8,Pse_Hydrophobicity_delta6,LC.DDE
FI.7,FN.DDE,LR.DDE,MC.7
RL.8,KR.6,LA.9,GC.3
NS.8,AQ.7,TT.0,RL.4
RN.7,TR.7,IV.2,LP.DDE
FF.7,FQ.9,IG.1,SH.DDE
NG.7,NG.0,CP.8,QN.2
DH.2,GD.4,FD.9,SF.1
PL.7,SP.DDE,KK.0,YI.9
KL.3,TY.0,EA.6,CR.DDE
KC.3,RN.4,DC.6,RM.DDE
NN.6,SR.3,KH.DDE,Pse_Hydrophobicity_delta6
CQ.8,LQ.8,PC.3,LR.DDE
Pse_GRAR740102_delta4,GC.4,HR.DDE,LA.9
IV.9,PH.4,YR.8,TT.0
WY.6,QT.0,MR.1,IV.2
WY.8,ME.3,HC.5,IG.1
SK.9,TH.0,LP.1,CP.8
PE.6,PH.7,KQ.8,FD.9
IC.4,HD.1,GN.DDE,KK.0
LR.9,GG.1,HQ.7,EA.6
LA.4,DP.0,FE.6,DC.6
PG.5,PQ.0,EQ.2,KH.DDE
NH.3,HG.5,CW.7,Grantham.Xr.L
CA.0,EL.5,ML.DDE,PC.3
LF.8,FE.0,EL.9,HR.DDE
CM.8,KM.7,SA.2,YR.8
,HD.3,IC.6,MR.1
,AC.5,HP.4,HC.5
,YM.7,SY.0,LP.1
,NL.DDE,RK.6,KQ.8
,PE.8,DN.2,GN.DDE
,DF.4,EP.DDE,HQ.7
,HC.6,HC.9,FE.6
,NF.5,WG.DDE,EQ.2
,CA.6,FD.1,CW.7
,MC.9,FK.4,ML.DDE
,CP.9,TA.DDE,EL.9
,SR.5,DW.9,SA.2
,RI.0,NE.1,IC.6
,Pse_Hydrophilicity_delta1,FK.6,HP.4
,WP.9,AP.6,SY.0
,LF.0,VW.DDE,RK.6
,CV.DDE,MK.DDE,DN.2
,SE.8,KG.8,EP.DDE
,IC.0,CG.1,HC.9
,LD.0,Pse_Hydrophilicity_delta5,WG.DDE
,GM.0,AH.4,FD.1
,NI.1,KI.DDE,FK.4
,NF.1,LL.DDE,TA.DDE
,QH.DDE,ID.9,DW.9
,YI.DDE,WV.5,NE.1
,DD.9,NI.0,FK.6
,HI.DDE,NL.2,AP.6
,KR.4,DI.DDE,VW.DDE
,CR.4,HC.1,MK.DDE
,HC.4,hydrophobicity_ARGP820101.G3.residue25,KG.8
,PI.1,FV.7,CG.1
,KD.DDE,CH.2,Pse_Hydrophilicity_delta5
,LM.DDE,HH.5,Schneider.Xr.R
,GE.5,ET.7,AH.4
,CN.5,normwaalsvolume.G3.residue100,KI.DDE
,NE.DDE,hydrophobicity_CASG920101.G1.residue0,LL.DDE
,AG.3,NG.5,ID.9
,ID.4,NH.2,WV.5
,FF.9,HD.5,NI.0
,Pse_pK(alpha-NH3+)_delta8,KA.1,NL.2
,FM.3,YM.DDE,DI.DDE
,NI.4,DI.4,HC.1
,DC.0,NN.3,hydrophobicity_ARGP820101.G3.residue25
,Pse_Hydrophobicity_delta10,DN.7,FV.7
,QQ.0,LE.0,CH.2
,FH.1,HA.6,HH.5
,MT.4,TY.DDE,ET.7
,KK.3,AQ.9,normwaalsvolume.G3.residue100
,VY.9,hydrophobicity_PRAM900101.Tr1221,hydrophobicity_CASG920101.G1.residue0
,HQ.2,VC.9,NG.5
,RG.DDE,GN.0,NH.2
,FI.8,LL.1,HD.5
,NV.8,PC.4,Grantham.Xr.M
,Pse_Hydrophobicity_delta5,RK.9,KA.1
,CI.8,DC.4,YM.DDE
,AE.4,FS.4,DI.4
,HY.7,PH.DDE,NN.3
,QC.6,CV.2,DN.7
,VV.6,charge.Tr1221,LE.0
,IC.5,hydrophobicity_CASG920101.G3.residue0,Schneider.Xr.F
,KS.9,KH.0,HA.6
,MI.7,TY.8,TY.DDE
,AG.DDE,LC.1,AQ.9
,FI.7,TK.5,hydrophobicity_PRAM900101.Tr1221
,RL.8,LC.2,VC.9
,YV.DDE,hydrophobicity_ENGD860101.G1.residue25,GN.0
,NS.8,CG.7,LL.1
,RN.7,DV.3,PC.4
,FF.7,CD.1,RK.9
,NG.7,Pse_Hydrophilicity_delta10,DC.4
,AA.DDE,PC.8,FS.4
,DH.2,FN.DDE,PH.DDE
,FV.DDE,KR.6,CV.2
,PL.7,AQ.7,charge.Tr1221
,KL.3,TR.7,hydrophobicity_CASG920101.G3.residue0
,KC.3,FQ.9,KH.0
,NN.6,hydrophobicity_ARGP820101.G2.residue25,TY.8
,CQ.8,NG.0,LC.1
,GP.DDE,GD.4,TK.5
,Pse_GRAR740102_delta4,SP.DDE,LC.2
,IV.9,TY.0,hydrophobicity_ENGD860101.G1.residue25
,WY.6,RN.4,CG.7
,WY.8,SR.3,DV.3
,SK.9,hydrophobicity_ENGD860101.G1,CD.1
,PE.6,LQ.8,Pse_Hydrophilicity_delta10
,IC.4,GC.4,PC.8
,LR.9,PH.4,FN.DDE
,LA.4,QT.0,KR.6
,PG.5,ME.3,AQ.7
,NH.3,TH.0,TR.7
,CA.0,PH.7,FQ.9
,LF.8,secondarystruct.G3.residue100,hydrophobicity_ARGP820101.G2.residue25
,CM.8,HD.1,NG.0
,,GG.1,GD.4
,,DP.0,SP.DDE
,,PQ.0,TY.0
,,HG.5,RN.4
,,EL.5,SR.3
,,FE.0,hydrophobicity_ENGD860101.G1
,,KM.7,LQ.8
,,HD.3,GC.4
,,AC.5,PH.4
,,YM.7,QT.0
,,polarity.G1,ME.3
,,hydrophobicity_ZIMJ680101.G2.residue0,TH.0
,,NL.DDE,PH.7
,,PE.8,secondarystruct.G3.residue100
,,DF.4,HD.1
,,hydrophobicity_ENGD860101.G1.residue100,GG.1
,,hydrophobicity_ENGD860101.G2.residue100,DP.0
,,HC.6,PQ.0
,,NF.5,HG.5
,,CA.6,EL.5
,,charge.G1.residue50,FE.0
,,MC.9,KM.7
,,CP.9,HD.3
,,SR.5,AC.5
,,RI.0,YM.7
,,Pse_Hydrophilicity_delta1,polarity.G1
,,WP.9,hydrophobicity_ZIMJ680101.G2.residue0
,,LF.0,Grantham.Xr.D
,,CV.DDE,NL.DDE
,,SE.8,PE.8
,,IC.0,DF.4
,,LD.0,hydrophobicity_ENGD860101.G1.residue100
,,GM.0,hydrophobicity_ENGD860101.G2.residue100
,,NI.1,HC.6
,,NF.1,NF.5
,,QH.DDE,Schneider.Xr.H
,,YI.DDE,CA.6
,,DD.9,charge.G1.residue50
,,HI.DDE,MC.9
,,KR.4,CP.9
,,CR.4,SR.5
,,HC.4,RI.0
,,PI.1,Pse_Hydrophilicity_delta1
,,KD.DDE,WP.9
,,LM.DDE,LF.0
,,GE.5,CV.DDE
,,CN.5,SE.8
,,NE.DDE,Schneider.Xr.N
,,AG.3,IC.0
,,ID.4,LD.0
,,FF.9,GM.0
,,Pse_pK(alpha-NH3+)_delta8,NI.1
,,FM.3,NF.1
,,hydrophobicity_CASG920101.Tr1221,QH.DDE
,,NI.4,YI.DDE
,,DC.0,DD.9
,,Pse_Hydrophobicity_delta10,HI.DDE
,,QQ.0,KR.4
,,hydrophobicity_ARGP820101.G3.residue75,CR.4
,,FH.1,HC.4
,,MT.4,PI.1
,,KK.3,KD.DDE
,,VY.9,LM.DDE
,,HQ.2,GE.5
,,RG.DDE,CN.5
,,FI.8,NE.DDE
,,NV.8,AG.3
,,Pse_Hydrophobicity_delta5,ID.4
,,CI.8,FF.9
,,AE.4,Pse_pK(alpha-NH3+)_delta8
,,HY.7,FM.3
,,QC.6,hydrophobicity_CASG920101.Tr1221
,,VV.6,NI.4
,,IC.5,DC.0
,,KS.9,Pse_Hydrophobicity_delta10
,,MI.7,QQ.0
,,AG.DDE,hydrophobicity_ARGP820101.G3.residue75
,,FI.7,FH.1
,,RL.8,MT.4
,,YV.DDE,Grantham.Xr.T
,,NS.8,KK.3
,,RN.7,VY.9
,,FF.7,HQ.2
,,NG.7,RG.DDE
,,AA.DDE,FI.8
,,DH.2,NV.8
,,FV.DDE,Pse_Hydrophobicity_delta5
,,PL.7,CI.8
,,KL.3,AE.4
,,KC.3,HY.7
,,NN.6,QC.6
,,CQ.8,VV.6
,,hydrophobicity_FASG890101.Tr2332,IC.5
,,GP.DDE,KS.9
,,Pse_GRAR740102_delta4,MI.7
,,IV.9,AG.DDE
,,WY.6,FI.7
,,WY.8,RL.8
,,SK.9,YV.DDE
,,PE.6,NS.8
,,IC.4,RN.7
,,LR.9,FF.7
,,LA.4,NG.7
,,PG.5,AA.DDE
,,NH.3,DH.2
,,CA.0,FV.DDE
,,LF.8,PL.7
,,CM.8,KL.3
,,,KC.3
,,,NN.6
,,,CQ.8
,,,hydrophobicity_FASG890101.Tr2332
,,,GP.DDE
,,,Pse_GRAR740102_delta4
,,,IV.9
,,,WY.6
,,,WY.8
,,,SK.9
,,,PE.6
,,,IC.4
,,,LR.9
,,,LA.4
,,,PG.5
,,,NH.3
,,,CA.0
,,,LF.8
,,,CM.8
